Sanctuary Records Group,0
Kal Ho Naa Ho,1
FC Zorya Luhansk,2
Thirteen,3
Gabon,4
An Inconvenient Truth,5
A Bug's Life,6
Galway,7
Tim Allen,8
Callum Keith Rennie,9
Tim Kaiser,10
Gigi,11
Anthony Quayle,12
The Water Horse: Legend of the Deep,13
Rita Moreno,14
Russ Meyer,15
Uppsala,16
N. Santhanam,17
89th United States Congress,18
Jeff Bridges,19
Tillamook County,20
Oklahoma Sooners men's basketball,21
Artie Lange,22
Johnny English Reborn,23
University of Ottawa,24
Vassar College,25
Nancy,26
Sarajevo,27
Bari,28
Abraham Murphy,29
Shochiku,30
Buddhism,31
Face/Off,32
The Wire - Season 5,33
F. Scott Fitzgerald,34
Tuba,35
Mark Irwin,36
The Muppet Movie,37
Club de Gimnasia y Esgrima La Plata,38
Rain Man,39
Kuk Harrell,40
G.I. Joe: Retaliation,41
Kevin Bacon,42
Jayma Mays,43
Zambia national football team,44
Ninotchka,45
Sonic the Hedgehog,46
Alan Parker,47
Patna,48
Nigeria national football team,49
Ioan Gruffudd,50
Death metal,51
The Devil's Double,52
Crossover,53
1956 Summer Olympics,54
Louise Fletcher,55
Emma,56
Pennsylvania,57
Luzerne County,58
Daylight,59
Saint Lucia,60
Happy-Go-Lucky,61
True Lies,62
Cayuga County,63
Albania national football team,64
Michael Semanick,65
Battle Creek,66
Dudley Moore,67
Akira Kamiya,68
Keith Forsey,69
Bowed string instrument,70
Neftchi PFK,71
Boys Don't Cry,72
Plainfield,73
Walter Matthau,74
The Firm,75
Shimizu S-Pulse,76
The Rolling Stones,77
Political cinema,78
Closer,79
MyNetworkTV,80
37th Golden Globe Awards,81
Deputy prime minister,82
Austin,83
French people,84
John Mayer,85
New Jersey Devils,86
Shutter Island,87
Anthony Wong,88
Leon Russell,89
"Razzie Award for Worst Prequel, Remake, Rip-off or Sequel",90
Plato,91
Friuli-Venezia Giulia,92
Lee Grant,93
Dean Saunders,94
The Verdict,95
Real Betis,96
Wesley Snipes,97
Gossip Girl,98
Lil Jon,99
Michael Patrick King,100
Blackpool,101
Post-metal,102
Veer-Zaara,103
A Beautiful Mind,104
David Watkin,105
Chemist,106
Dougray Scott,107
Lenny Bruce,108
Printmaking,109
Patty Loveless,110
Anti-folk,111
Slaughterhouse-Five,112
Jim Morrison,113
Bachelor of Science,114
The Right Stuff,115
Gate Keepers 21,116
FC Barcelona,117
Burt Young,118
Dan O'Shannon,119
The A-Team,120
Johnny Cash,121
War and Peace,122
Sikh,123
